name_x,article_url_x,qid,summary_x,name_y,article_url_y,summary_y,gender_raw,birthdate_raw,citizenship_raw,occupation_raw,field_raw,birth_year,gender_qid
Edith Abbott,https://en.wikipedia.org/wiki/Edith_Abbott,Q272731,"Edith Abbott (September 26, 1876 – July 28, 1957) was an American economist, statistician, social worker, educator, and author. Abbott was born in Grand Island, Nebraska. Abbott was a pioneer in the profession of social work with an educational background in economics. She was a leading activist in social reform with the ideals that humanitarianism needed to be embedded in education. Abbott was also in charge of implementing social work studies to the graduate level. Though she was met with resistance on her work with social reform at the University of Chicago, she ultimately was successful and was elected as the school's dean in 1924, making her one of the first female deans in the United States. Abbott was foremost an educator and saw her work as a combination of legal studies and humanitarian work which shows in her social security legislation. She is known as an economist who pursued implementing social work at the graduate level. Her younger sister was Grace Abbott.

Social work will never become a profession—except through the professional schools
The Edith Abbott Memorial Library, in Grand Island, Nebraska, is named after her.

",Edith Abbott,https://en.wikipedia.org/wiki/Edith_Abbott,"Edith Abbott (September 26, 1876 – July 28, 1957) was an American economist, statistician, social worker, educator, and author. Abbott was born in Grand Island, Nebraska. Abbott was a pioneer in the profession of social work with an educational background in economics. She was a leading activist in social reform with the ideals that humanitarianism needed to be embedded in education. Abbott was also in charge of implementing social work studies to the graduate level. Though she was met with resistance on her work with social reform at the University of Chicago, she ultimately was successful and was elected as the school's dean in 1924, making her one of the first female deans in the United States. Abbott was foremost an educator and saw her work as a combination of legal studies and humanitarian work which shows in her social security legislation. She is known as an economist who pursued implementing social work at the graduate level. Her younger sister was Grace Abbott.

Social work will never become a profession—except through the professional schools
The Edith Abbott Memorial Library, in Grand Island, Nebraska, is named after her.

","[{'entity-type': 'item', 'numeric-id': 6581072, 'id': 'Q6581072'}]","[{'time': '+1876-09-26T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 30, 'id': 'Q30'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 2732142, 'id': 'Q2732142'}, {'entity-type': 'item', 'numeric-id': 7019111, 'id': 'Q7019111'}, {'entity-type': 'item', 'numeric-id': 36180, 'id': 'Q36180'}, {'entity-type': 'item', 'numeric-id': 1622272, 'id': 'Q1622272'}, {'entity-type': 'item', 'numeric-id': 37226, 'id': 'Q37226'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}, {'entity-type': 'item', 'numeric-id': 205398, 'id': 'Q205398'}, {'entity-type': 'item', 'numeric-id': 12483, 'id': 'Q12483'}]",1876.0,Q6581072
Daron Acemoglu,https://en.wikipedia.org/wiki/Daron_Acemoglu,Q718581,"Kamer Daron Acemoğlu (born September 3, 1967) is a Turkish-American economist of Armenian descent who has taught at the Massachusetts Institute of Technology since 1993, where he is currently the Elizabeth and James Killian Professor of Economics, and was named an Institute Professor at MIT in 2019. His primary research fields include political economy, development economics, and labor economics.  He received the John Bates Clark Medal in 2005, and the Nobel Prize in Economics in 2024.
Acemoglu ranked third, behind Paul Krugman and Greg Mankiw, in the list of ""Favorite Living Economists Under Age 60"" in a 2011 survey among American economists. In 2015, he was named the most cited economist of the past 10 years per Research Papers in Economics (RePEc) data. According to the Open Syllabus Project, Acemoglu is the third most frequently cited author on college syllabi for economics courses after Mankiw and Krugman.
In 2024, Acemoglu, James A. Robinson, and Simon Johnson were awarded the Nobel Memorial Prize in Economic Sciences for their comparative studies in prosperity between states and empires. He is regarded as a centrist with a focus on institutions, poverty and econometrics.

",Daron Acemoglu,https://en.wikipedia.org/wiki/Daron_Acemoglu,"Kamer Daron Acemoğlu (born September 3, 1967) is a Turkish-American economist of Armenian descent who has taught at the Massachusetts Institute of Technology since 1993, where he is currently the Elizabeth and James Killian Professor of Economics, and was named an Institute Professor at MIT in 2019. His primary research fields include political economy, development economics, and labor economics.  He received the John Bates Clark Medal in 2005, and the Nobel Prize in Economics in 2024.
Acemoglu ranked third, behind Paul Krugman and Greg Mankiw, in the list of ""Favorite Living Economists Under Age 60"" in a 2011 survey among American economists. In 2015, he was named the most cited economist of the past 10 years per Research Papers in Economics (RePEc) data. According to the Open Syllabus Project, Acemoglu is the third most frequently cited author on college syllabi for economics courses after Mankiw and Krugman.
In 2024, Acemoglu, James A. Robinson, and Simon Johnson were awarded the Nobel Memorial Prize in Economic Sciences for their comparative studies in prosperity between states and empires. He is regarded as a centrist with a focus on institutions, poverty and econometrics.

","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1967-09-03T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 43, 'id': 'Q43'}, {'entity-type': 'item', 'numeric-id': 30, 'id': 'Q30'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 1622272, 'id': 'Q1622272'}, {'entity-type': 'item', 'numeric-id': 482980, 'id': 'Q482980'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}]",1967.0,Q6581097
Nicola Acocella,https://en.wikipedia.org/wiki/Nicola_Acocella,Q7001311,"Nicola Acocella (born 3 July 1939) is an Italian economist and academic, Emeritus Professor of Economic Policy since 2014.
In 1963 he graduated in Economics from the “Sapienza University of Rome” with a thesis on ‘Time lags in economic policy’, under the supervision of Federico Caffè. After becoming full professor (1980), he got a reputation for his holistic contribution to systematisation and development of Economic policy. He also introduced remarkable innovations in the theory of economic policy as well as in monetary and fiscal policy and the theory of social pacts.",Nicola Acocella,https://en.wikipedia.org/wiki/Nicola_Acocella,"Nicola Acocella (born 3 July 1939) is an Italian economist and academic, Emeritus Professor of Economic Policy since 2014.
In 1963 he graduated in Economics from the “Sapienza University of Rome” with a thesis on ‘Time lags in economic policy’, under the supervision of Federico Caffè. After becoming full professor (1980), he got a reputation for his holistic contribution to systematisation and development of Economic policy. He also introduced remarkable innovations in the theory of economic policy as well as in monetary and fiscal policy and the theory of social pacts.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1939-07-03T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 172579, 'id': 'Q172579'}, {'entity-type': 'item', 'numeric-id': 38, 'id': 'Q38'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}]",,1939.0,Q6581097
Zoltan Acs,https://en.wikipedia.org/wiki/Zoltan_Acs,Q8073604,"Zoltan J. Acs (born 1947) is an American economist. He is Professor of Management at The London School of Economics (LSE), and a professor at George Mason University, where he teaches in the Schar School of Policy and Government and is the Director of the Center for Entrepreneurship and Public Policy. He is also a visiting professor at Imperial College Business School in London and affiliated with the University of Pecs in Hungary. He is co-editor and founder of Small Business Economics.
Acs was previously Research Scholar at the Entrepreneurship Growth and Public Policy Group at the Max Planck Institute for Economics in Jena, Germany. He has also served as Chief Economist at the U.S. Small Business Administration (SBA); Research Fellow at the U.S. Bureau of the Census; associate director of the Center for International Business Education and Research; Research Associate at the Institute on Western Europe at Columbia University; and Scholar-in-Residence at the Kauffman Foundation.
Acs advocates the importance of entrepreneurship for economic development. He is the founder and President of The GEDI Institute, a global think tank based in Washington, D.C. Together with Laszlo Szerb, Acs created the Global Entrepreneurship and Development Index (GEDI).
He has published more than 200 articles and 35 books. His most recent book, Why Philanthropy Matters: How the Wealthy Give, and What it Means for our Economic Well-Being (2013), was a finalist for the Academy of Management George R Baker Prize for the best book in management in 2014.",Zoltan Acs,https://en.wikipedia.org/wiki/Zoltan_Acs,"Zoltan J. Acs (born 1947) is an American economist. He is Professor of Management at The London School of Economics (LSE), and a professor at George Mason University, where he teaches in the Schar School of Policy and Government and is the Director of the Center for Entrepreneurship and Public Policy. He is also a visiting professor at Imperial College Business School in London and affiliated with the University of Pecs in Hungary. He is co-editor and founder of Small Business Economics.
Acs was previously Research Scholar at the Entrepreneurship Growth and Public Policy Group at the Max Planck Institute for Economics in Jena, Germany. He has also served as Chief Economist at the U.S. Small Business Administration (SBA); Research Fellow at the U.S. Bureau of the Census; associate director of the Center for International Business Education and Research; Research Associate at the Institute on Western Europe at Columbia University; and Scholar-in-Residence at the Kauffman Foundation.
Acs advocates the importance of entrepreneurship for economic development. He is the founder and President of The GEDI Institute, a global think tank based in Washington, D.C. Together with Laszlo Szerb, Acs created the Global Entrepreneurship and Development Index (GEDI).
He has published more than 200 articles and 35 books. His most recent book, Why Philanthropy Matters: How the Wealthy Give, and What it Means for our Economic Well-Being (2013), was a finalist for the Academy of Management George R Baker Prize for the best book in management in 2014.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1947-03-09T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, {'time': '+1947-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 30, 'id': 'Q30'}, {'entity-type': 'item', 'numeric-id': 28, 'id': 'Q28'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}]",1947.0,Q6581097
Henry Carter Adams,https://en.wikipedia.org/wiki/Henry_Carter_Adams,Q518021,"Henry Carter Adams (December 31, 1851 – August 11, 1921) was a U.S. economist and Professor of Political Economy and finance at the University of Michigan.",Henry Carter Adams,https://en.wikipedia.org/wiki/Henry_Carter_Adams,"Henry Carter Adams (December 31, 1851 – August 11, 1921) was a U.S. economist and Professor of Political Economy and finance at the University of Michigan.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1851-12-31T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 30, 'id': 'Q30'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 1622272, 'id': 'Q1622272'}, {'entity-type': 'item', 'numeric-id': 36180, 'id': 'Q36180'}, {'entity-type': 'item', 'numeric-id': 974144, 'id': 'Q974144'}, {'entity-type': 'item', 'numeric-id': 66889825, 'id': 'Q66889825'}, {'entity-type': 'item', 'numeric-id': 1569495, 'id': 'Q1569495'}, {'entity-type': 'item', 'numeric-id': 2732142, 'id': 'Q2732142'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}]",1851.0,Q6581097
Walter Adams,https://en.wikipedia.org/wiki/Walter_Adams_(economist),Q4057353,"Walter Adams (August 27, 1922 – September 8, 1998) was an Austrian-born American economist and college professor.  He served as the 13th President of Michigan State University and served as an expert witness before 36 congressional committees.",Walter Adams,https://en.wikipedia.org/wiki/Walter_Adams_(economist),"Walter Adams (August 27, 1922 – September 8, 1998) was an Austrian-born American economist and college professor.  He served as the 13th President of Michigan State University and served as an expert witness before 36 congressional committees.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1922-08-27T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 40, 'id': 'Q40'}, {'entity-type': 'item', 'numeric-id': 30, 'id': 'Q30'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 1622272, 'id': 'Q1622272'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}]",1922.0,Q6581097
Philippe Aghion,https://en.wikipedia.org/wiki/Philippe_Aghion,Q376364,"Philippe Mario Aghion  (French: [filip aɡjɔ̃]; born 17 August 1956) is a French economist who is Chair of Economics of Institutions, Innovation and Growth professor at the Collège de France and the Kurt Björklund Chaired Professor in Innovation and Growth at INSEAD. He is also a visiting professor at the London School of Economics.
Aghion and Peter Howitt are known for the Aghion–Howitt model. For this work, they shared half of the 2025 Nobel Memorial Prize in Economic Sciences  ""for the theory of sustained growth through creative destruction""",Philippe Aghion,https://en.wikipedia.org/wiki/Philippe_Aghion,"Philippe Mario Aghion  (French: [filip aɡjɔ̃]; born 17 August 1956) is a French economist who is Chair of Economics of Institutions, Innovation and Growth professor at the Collège de France and the Kurt Björklund Chaired Professor in Innovation and Growth at INSEAD. He is also a visiting professor at the London School of Economics.
Aghion and Peter Howitt are known for the Aghion–Howitt model. For this work, they shared half of the 2025 Nobel Memorial Prize in Economic Sciences  ""for the theory of sustained growth through creative destruction""","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1956-08-17T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 142, 'id': 'Q142'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 1622272, 'id': 'Q1622272'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}, {'entity-type': 'item', 'numeric-id': 174165, 'id': 'Q174165'}, {'entity-type': 'item', 'numeric-id': 189833, 'id': 'Q189833'}]",1956.0,Q6581097
Montek Singh Ahluwalia,https://en.wikipedia.org/wiki/Montek_Singh_Ahluwalia,Q3322629,"Montek Singh Ahluwalia (born 24 November 1943) is an Indian economist and civil servant who was the Deputy Chairman of the Planning Commission of India, a position which carried the rank of a Cabinet Minister. He resigned from this post in May 2014 following the impending end of the UPA II regime at the center. He was previously the first director of the Independent Evaluation Office at the International Monetary Fund.",Montek Singh Ahluwalia,https://en.wikipedia.org/wiki/Montek_Singh_Ahluwalia,"Montek Singh Ahluwalia (born 24 November 1943) is an Indian economist and civil servant who was the Deputy Chairman of the Planning Commission of India, a position which carried the rank of a Cabinet Minister. He resigned from this post in May 2014 following the impending end of the UPA II regime at the center. He was previously the first director of the Independent Evaluation Office at the International Monetary Fund.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1943-11-24T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 668, 'id': 'Q668'}, {'entity-type': 'item', 'numeric-id': 129286, 'id': 'Q129286'}, {'entity-type': 'item', 'numeric-id': 1775277, 'id': 'Q1775277'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 212238, 'id': 'Q212238'}]",,1943.0,Q6581097
Qazi Kholiquzzaman Ahmad,https://en.wikipedia.org/wiki/Qazi_Kholiquzzaman_Ahmad,Q15126839,"Qazi Kholiquzzaman Ahmad (Bengali: কাজী খলীকুজ্জমান আহমদ; born c. 1943) is a Bangladeshi economist and development thinker and activist. He is currently the chairman of Dhaka School of Economics (DScE), a constituent institution of the University of Dhaka, devoted to post-graduate studies in economics and related subjects. He is former chairman (November, 2009 to September, 2023) of Palli Karma-Sahayak Foundation (PKSF), which is largest rural development funding, skill development and management support agency in Bangladesh. He received the highest national civilian award Independence Award 2019; and Ekushe Padak 2009, presented by the Government of Bangladesh.",Qazi Kholiquzzaman Ahmad,https://en.wikipedia.org/wiki/Qazi_Kholiquzzaman_Ahmad,"Qazi Kholiquzzaman Ahmad (Bengali: কাজী খলীকুজ্জমান আহমদ; born c. 1943) is a Bangladeshi economist and development thinker and activist. He is currently the chairman of Dhaka School of Economics (DScE), a constituent institution of the University of Dhaka, devoted to post-graduate studies in economics and related subjects. He is former chairman (November, 2009 to September, 2023) of Palli Karma-Sahayak Foundation (PKSF), which is largest rural development funding, skill development and management support agency in Bangladesh. He received the highest national civilian award Independence Award 2019; and Ekushe Padak 2009, presented by the Government of Bangladesh.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1943-03-12T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 902, 'id': 'Q902'}, {'entity-type': 'item', 'numeric-id': 129286, 'id': 'Q129286'}, {'entity-type': 'item', 'numeric-id': 843, 'id': 'Q843'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}]",,1943.0,Q6581097
George Akerlof,https://en.wikipedia.org/wiki/George_Akerlof,Q222541,"George Arthur Akerlof (born June 17, 1940) is an American economist and a university professor at the McCourt School of Public Policy at Georgetown University and Koshland Professor of Economics Emeritus at the University of California, Berkeley. Akerlof was awarded the 2001 Nobel Memorial Prize in Economic Sciences, jointly with Michael Spence and Joseph Stiglitz, ""for their analyses of markets with asymmetric information."" He is the husband of former United States Secretary of the Treasury Janet Yellen.",George Akerlof,https://en.wikipedia.org/wiki/George_Akerlof,"George Arthur Akerlof (born June 17, 1940) is an American economist and a university professor at the McCourt School of Public Policy at Georgetown University and Koshland Professor of Economics Emeritus at the University of California, Berkeley. Akerlof was awarded the 2001 Nobel Memorial Prize in Economic Sciences, jointly with Michael Spence and Joseph Stiglitz, ""for their analyses of markets with asymmetric information."" He is the husband of former United States Secretary of the Treasury Janet Yellen.","[{'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}]","[{'time': '+1940-06-17T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}]","[{'entity-type': 'item', 'numeric-id': 30, 'id': 'Q30'}]","[{'entity-type': 'item', 'numeric-id': 188094, 'id': 'Q188094'}, {'entity-type': 'item', 'numeric-id': 121594, 'id': 'Q121594'}]","[{'entity-type': 'item', 'numeric-id': 8134, 'id': 'Q8134'}, {'entity-type': 'item', 'numeric-id': 159810, 'id': 'Q159810'}]",1940.0,Q6581097
